ORGANIZACION,Comentario,Comentario Sin tratar,Etiqueta,Analyzer
pixolab,ser empresa relativamente nueva muchas areas oportunidad enfocarse lider area muchas veces tomo actitudes profesionales demostrar descontento lider general asignaba alguna tarea quitaba menos hrs proporcionaba ningun tipo feedback trabajo tener tantos practicantes responsabilidad tenia ver relacionado carrera pedi interesaba participar hice practicas empresa pixolab agencia marketing realice subempresa llamada etuux dedica ultima milla totalmente diferente vi internet ofertaron plataforma udlap tarea asignar recolecciones whatsapp habia horario establecido muchas veces empalmaban clases aun asi exigian asignara dia pusieron buscar departamento toluca lider area ninguna especificacion retroalimentacion pesima adivinar lider queria solamente semana pasada pude hacer permitieron hacer excel aplicar algun conocimiento ganado licenciatura empresa menos area administracion recomiendo areas mayor participacion finanzas ingenieria proyectos marketing obstante hicieron reclutar practicantes empresa tenia todas responsabilidades llenas mismos final mandarnos empresa tenia ver postule molesto institucion udlap deberia dejar pasar,"al ser una empresa relativamente nueva tiene muchas areas de oportunidad para enfocarse 
el lider de area muchas veces tomo actitudes no profesionales para demostrar su descontento con algo
cuando el lider general me asignaba alguna tarea que me quitaba por lo menos  hrs no me proporcionaba ningun tipo de feedback sobre mi trabajo 
al tener tantos practicantes mi responsabilidad no tenia nada que ver con lo relacionado a mi carrera y a lo que pedi que me interesaba participar 
no hice mis practicas en la empresa pixolab agencia de marketing las realice en una subempresa de ellos llamada etuux que se dedica a la ultima milla totalmente diferente a lo que vi en internet y a lo que ofertaron en la plataforma de udlap mi tarea era asignar recolecciones por whatsapp no habia un horario establecido muchas veces se empalmaban con mis clases y aun asi me exigian que las asignara un dia me pusieron a buscar un departamento en toluca para el lider de area sin ninguna especificacion la retroalimentacion era pesima para adivinar lo que el lider queria  solamente hasta la semana pasada pude hacer algo que me permitieron hacer en excel y aplicar algun conocimiento ganado de mi licenciatura 
es una empresa que al menos en el area de administracion no recomiendo las otras areas tuvieron mayor participacion finanzas ingenieria de proyectos marketing no obstante lo que hicieron con reclutar practicantes para una empresa que ya tenia todas las responsabilidades llenas por ellos mismos y al final mandarnos a otra empresa que no tenia nada que ver con lo que yo me postule me molesto mucho y es algo que una institucion como la udlap no deberia dejar pasar 
",negative,"AnalyzerOutput(output=NEG, probas={NEG: 0.554, NEU: 0.430, POS: 0.016})"
impact,padrisima experiencia trato bueno aprendi muchisimas cosas siempre retroalimentacion ayudo seguir mejorando desempeno,padrisima la experiencia el trato fue muy bueno y aprendi muchisimas cosas y siempre tuve retroalimentacion que me ayudo a seguir mejorando mi desempeno,positive,"AnalyzerOutput(output=POS, probas={POS: 0.965, NEU: 0.032, NEG: 0.003})"
casa tapier,gustado poder ir menos vez dos manera presencial embargo comprendo situacion actual pandemia pudo ser posible aun asi dejo satisfecha,me hubiera gustado mucho poder ir al menos una vez o dos de manera presencial sin embargo comprendo que por la situacion actual de la pandemia no pudo ser posible y aun asi me dejo muy satisfecha ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.646, POS: 0.254, NEG: 0.100})"
blackshiip,blackshiip gran organizacion pesar apenas lleva ano mercado crecimiento exponencial preocupan bienestar colaboradores cuentan valores,blackshiip es una gran organizacion y a pesar de que apenas lleva un ano en el mercado esta teniendo un crecimiento exponencial se preocupan por el bienestar de sus colaboradores y cuentan con muchos valores,positive,"AnalyzerOutput(output=POS, probas={POS: 0.855, NEU: 0.135, NEG: 0.011})"
accurate media,organizacion proporciona recursos necesarios incluso radica serie problemas funcionamiento,la organizacion no proporciona los recursos necesarios e incluso eso radica en una serie de problemas para el funcionamiento ,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.743, POS: 0.144, NEG: 0.112})"
azgroup,gusto bastante az group aprendi muchas cosas siempre acuerdo estudio,me gusto bastante estar en az group aprendi muchas cosas y todo siempre fue de acuerdo a lo que estudio,positive,"AnalyzerOutput(output=POS, probas={POS: 0.930, NEU: 0.065, NEG: 0.005})"
servicios ecoturisticos de altura sa de cv,verdad director equipo excelente personas congruentes valores preocupadas bien comun empresa padrisima abrio ojos areas admon gustaria especializarme ojala puedan mandar mas practicantes gran experiencia confianza dieron ayudo aprender mas obliga resolver problemas confrontar cuestiones vida real,la verdad el director y el equipo son excelente personas congruentes de valores y preocupadas por el bien comun es una empresa padrisima me abrio mucho los ojos sobre las areas de admon a las que me gustaria especializarme ojala puedan mandar mas practicantes es un gran experiencia la confianza que me dieron me ayudo a aprender mucho mas porque te obliga a resolver problemas y a confrontar cuestiones de la vida real ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.909, NEU: 0.081, NEG: 0.009})"
hotel mansion del conde,excelente empresa poder realizar practicas profesionales,es una excelente empresa para poder realizar tus practicas profesionales ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.946, NEU: 0.050, NEG: 0.004})"
larissa perez,cuanto beneficios organizacion brindo realice linea voy encantada organizacion larissa perez aprendi muchas cosas nuevas trato bueno si esperaba,"en cuanto a los beneficios la organizacion no me los brindo porque estas las realice en linea 

y me voy encantada con la organizacion larissa perez aprendi muchas cosas nuevas el trato fue muy bueno y si fue lo que esperaba ",positive,"AnalyzerOutput(output=POS, probas={POS: 0.899, NEU: 0.097, NEG: 0.004})"
larissa perez,ambiente vivio estancia bueno misma directora transmitio seguridad poder expresar inquientudes,el ambiente que se vivio durante la estancia fue muy bueno la misma directora transmitio la seguridad de poder expresar las inquientudes ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.851, NEU: 0.142, NEG: 0.007})"
add valant,problema departamento ser empresa nueva creacion funcionamiento actualmente pidieron ampliar finales mayo presencia empresa accedi gusto ambiente bueno,"el problema es que en el departamento en el que estuve al ser una empresa de nueva creacion su funcionamiento no esta al  actualmente 
me pidieron ampliar hasta finales de mayo mi presencia en la empresa a lo cual accedi con mucho gusto
el ambiente es muy bueno ",positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.847, POS: 0.125, NEG: 0.028})"
habla logistica y mercadotecnia,parte efectos pandemia poder acudir instalaciones realizar trabajo campo obtener informacion certera respecto proyecto practicas dejo mala experiencia puesto comunicacion empresa realice practicas mala considero beneficios empresa,como parte de uno de los efectos de esta pandemia fue el no poder acudir a las instalaciones a realizar trabajo de campo y obtener informacion certera respecto a mi proyecto de practicas lo cual me dejo una mala experiencia puesto que la comunicacion con la empresa donde realice mis practicas fue muy mala por lo cual considero que no hubo muchos beneficios para la empresa ni para mi ,negative,"AnalyzerOutput(output=NEG, probas={NEG: 0.874, NEU: 0.121, POS: 0.005})"
oxyboo,realmente aplique conocimientos teoricos carrera si aprendi negociaciones terceros creo habilidad util mundo real mas caso planeo dirigir empresa familiar lado recluto expectativa trabajar proyecto especifico paso,"realmente no aplique muchos conocimientos teoricos de la carrera pero si aprendi sobre negociaciones con terceros que creo que es una habilidad util en el mundo real y mas en mi caso que planeo dirigir la empresa familiar 
por otro lado se me recluto con la expectativa de trabajar en un proyecto en especifico lo que no paso",neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.746, POS: 0.236, NEG: 0.018})"
museos puebla,ser mas puntuales fechas indican,ser mas puntuales en la fechas que se indican,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.846, POS: 0.113, NEG: 0.041})"
hotel boutique casa reyna,organizacion pesar entregar tiempo forma proyectos asignados falto dar retroalimentacion mismos asi tiempo respuesta dos primeros proyectos dudas alto,a la organizacion a pesar de entregar en tiempo y forma los proyectos asignados le falto dar retroalimentacion de los mismos asi como el tiempo de respuesta de los dos primeros proyectos por dudas fue alto,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.877, NEG: 0.069, POS: 0.053})"
rotamundos,grata experiencia rotamundos considero gran empresa,fue grata mi experiencia con rotamundos considero que es una gran empresa,positive,"AnalyzerOutput(output=POS, probas={POS: 0.972, NEU: 0.025, NEG: 0.003})"
inmense hotels,recibido oferta contratacion todavia termino tiempo practicas establecido organizacion igualmente recibi beneficios via remota,no he recibido oferta de contratacion porque todavia no termino el tiempo de practicas establecido con la organizacion igualmente no recibi beneficios ya que fueron via remota,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.789, POS: 0.192, NEG: 0.020})"
solmare,principio experiencia buena cambie jefe inmediato cambio puso hacer cosas mas relacionadas carrera creo mejor relacion organizacion,al principio mi experiencia no fue muy buena pero cuando cambie de jefe inmediato todo cambio por que me puso hacer cosas mas relacionadas a mi carrera y creo que tuve un mejor relacion y organizacion con el,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.509, POS: 0.480, NEG: 0.011})"
kruger brent america,parecia haber actividades adecuadas personas carrera solo enfocaron aquellos estudiaban cosas fines,no parecia haber actividades adecuadas para personas de mi carrera solo se enfocaron en aquellos que estudiaban cosas a fines ,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.753, POS: 0.153, NEG: 0.094})"
kreston bsg,hicieron amenas practicas aun home office tenian mucha paciencia mismo modalidad limitaban,hicieron muy amenas las practicas aun cuando eran en home office y tenian mucha paciencia por lo mismo de que la modalidad limitaban mucho,positive,"AnalyzerOutput(output=POS, probas={POS: 0.498, NEU: 0.454, NEG: 0.048})"
endeavor cdmx,buena organizacion calidos comprensivos,muy buena organizacion calidos y comprensivos ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.912, NEU: 0.083, NEG: 0.005})"
cluster puebla tic,si tema pandemia proceso linea inicio siento informales nunca informo habia sido aceptada mande correo preguntando despues agendo videoconferencia explicara empresa conecte reunion persona nunca conecto mandar correo ver si iba llevar cabo dijeron despues solo explico brevemente llamada telefonica nunca retroalimentacion actividades hacia pedia realizar ciertas cosas contaba informacion suficiente poder llevar cabo dichas actividades consiguiente entregaba trabajos deficientes informacion faltante pedian realizar actividades ciertos proyectos trabajando nunca explicaba bien consistia cada proyecto general consistia empresa creo debe nadie sabe afrontar tema practicas linea siento definitivamente preparados tener practicantes modalidad creo si sido presencial pudo haber sido diferente pudo haber mejor experiencia ambas partes,no se si fue por el tema pandemia y que todo el proceso fue en linea pero desde el inicio siento que fueron un poco informales ya que nunca se me informo que habia sido aceptada hasta que yo mande un correo preguntando despues se agendo una videoconferencia para que se me explicara sobre la empresa me conecte a la reunion y la persona nunca se conecto tuve que mandar un correo para ver si se iba a llevar a cabo me dijeron que no y despues solo me explico muy brevemente lo que era por llamada telefonica nunca hubo como una retroalimentacion a las actividades que hacia se me pedia realizar ciertas cosas pero no contaba con la informacion suficiente para poder llevar a cabo dichas actividades por consiguiente entregaba trabajos deficientes o con informacion faltante me pedian realizar actividades de ciertos proyectos con los que ellos estaban trabajando y nunca se me explicaba bien en que consistia cada proyecto y en general en que consistia la empresa creo que todo se debe a que nadie sabe como afrontar todo este tema de las practicas en linea y siento que definitivamente no estaban preparados para tener practicantes en esta modalidad creo que si hubiera sido presencial todo pudo haber sido diferente y se pudo haber tenido una mejor experiencia de ambas partes ,negative,"AnalyzerOutput(output=NEG, probas={NEG: 0.641, NEU: 0.348, POS: 0.011})"
grupo proactivo mexicano,excelente experiencia aprendi,excelente experiencia aprendi mucho,positive,"AnalyzerOutput(output=POS, probas={POS: 0.960, NEU: 0.036, NEG: 0.004})"
endeavor cdmx,recomiendo ampliamente hacer practicas profesionales endeavor siempre buen ambiente laboral aprendes ademas poner practica conocimientos adquiridos unica recomendacion deberian dar remuneracion economica,recomiendo ampliamente hacer practicas profesionales en endeavor siempre se siente un muy buen ambiente laboral y aprendes mucho ademas de poner en practica conocimientos adquiridos mi unica recomendacion es que deberian de dar remuneracion economica ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.762, NEU: 0.226, NEG: 0.012})"
